"Unit ID","Create Date","Resolve Date","Client Global Sales Region","Inquiry Rep Desc","Inquiry Rep Team Desc","Inquiry Status","Inquiry Action",Product
1267151907,6/23/2023,9/1/2023,EMEA,"JOHN SNOW",BUYSIDE,R,Handled,-
1268461658,7/18/2023,8/31/2023,EMEA,"JOHN SNOW",BUYSIDE,R,Handled,-
1257773074,1/11/2023,1/11/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1257751674,1/11/2023,1/11/2023,EMEA,"HARRY POTTER",SELLSIDE,R,Handled,FUOMS
1257972687,1/14/2023,1/17/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1259131222,2/1/2023,2/9/2023,EMEA,"OBI-WAN KENOBI",BUYSIDE,R,Handled,BIM
1259261887,2/2/2023,2/13/2023,EMEA,"OBI-WAN KENOBI",BUYSIDE,R,Handled,BIM
1259569660,2/8/2023,2/9/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1260095605,2/17/2023,2/17/2023,EMEA,DELETE,"E TRADING",R,Handled,SHUB
1260177117,2/20/2023,2/20/2023,EMEA,DELETE,"E TRADING",R,Handled,SHUB
1261985819,3/23/2023,3/23/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1262648486,4/4/2023,4/5/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1262825400,4/7/2023,4/11/2023,EMEA,"HAN SOLO",SELLSIDE,R,Handled,UOMS
1263153441,4/14/2023,4/27/2023,EMEA,"OBI-WAN KENOBI",BUYSIDE,R,Handled,BIM
1263371425,4/18/2023,4/20/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1264021413,5/1/2023,5/1/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1264096121,5/2/2023,5/11/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1264217906,5/3/2023,5/4/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1264914844,5/16/2023,5/18/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265079115,5/18/2023,5/18/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265090019,5/18/2023,5/18/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265160705,5/19/2023,5/19/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265504292,5/25/2023,5/26/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265580066,5/26/2023,5/30/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265587707,5/26/2023,7/10/2023,EMEA,"CHARLIE BROWN","E TRADING",R,Handled,SHUB
1265719033,5/30/2023,5/31/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265804672,5/31/2023,6/1/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265818298,5/31/2023,6/1/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1265969366,6/2/2023,6/7/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1266054514,6/5/2023,6/13/2023,EMEA,"OBI-WAN KENOBI",BUYSIDE,R,Handled,BIM
1266272728,6/7/2023,6/12/2023,EMEA,"OBI-WAN KENOBI",BUYSIDE,R,Handled,BIM
1267919324,7/7/2023,7/17/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,BIM
1267999117,7/10/2023,7/10/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1268393378,7/17/2023,7/18/2023,EMEA,"JAMES BOND","E TRADING",R,Handled,SHUB
1268835904,7/25/2023,7/26/2023,EMEA,"JACK SPARROW",BUYSIDE,R,Handled,UOMS
1272386478,9/27/2023,11/14/2023,EMEA,"BUGS BUNNY",BUYSIDE,R,Handled,BIM
1274024182,10/26/2023,11/22/2023,EMEA,"LUKE SKYWALKER",BUYSIDE,R,Handled,BIM
1259445820,2/7/2023,4/26/2023,EMEA,"Sheldon Cooper",BUYSIDE,W,Handled,BIM
1260132481,2/19/2023,5/24/2023,EMEA,"JACK SPARROW",BUYSIDE,W,Handled,BIM
